frame,flex,add,introt,ant,prox,lat
51,56.053,6.969,3.859,4.606,0.146,3.798
52,56.204,7.027,3.946,4.637,0.152,3.790
53,56.353,7.085,4.033,4.667,0.158,3.781
54,56.501,7.141,4.121,4.696,0.164,3.771
55,56.647,7.197,4.208,4.724,0.170,3.761
56,56.791,7.252,4.295,4.751,0.176,3.751
57,56.933,7.305,4.382,4.777,0.181,3.740
58,57.073,7.358,4.469,4.802,0.187,3.728
59,57.211,7.410,4.556,4.826,0.192,3.716
60,57.348,7.460,4.643,4.849,0.198,3.704
61,57.483,7.510,4.730,4.870,0.203,3.691
62,57.615,7.559,4.817,4.891,0.208,3.677
63,57.746,7.606,4.904,4.910,0.212,3.663
64,57.875,7.653,4.991,4.928,0.217,3.648
65,58.002,7.699,5.078,4.946,0.222,3.633
66,58.127,7.743,5.164,4.962,0.226,3.617
67,58.250,7.787,5.251,4.977,0.230,3.601
68,58.372,7.829,5.337,4.991,0.234,3.585
69,58.491,7.870,5.423,5.004,0.238,3.567
70,58.608,7.911,5.510,5.016,0.242,3.550
71,58.723,7.950,5.596,5.026,0.246,3.531
72,58.837,7.988,5.681,5.036,0.250,3.513
73,58.948,8.025,5.767,5.045,0.253,3.493
74,59.057,8.061,5.853,5.052,0.257,3.473
75,59.165,8.096,5.938,5.059,0.260,3.453
76,59.270,8.130,6.023,5.064,0.263,3.432
77,59.373,8.162,6.108,5.069,0.266,3.411
78,59.474,8.194,6.193,5.072,0.269,3.389
79,59.574,8.224,6.278,5.074,0.271,3.367
80,59.671,8.254,6.362,5.076,0.274,3.344
81,59.766,8.282,6.446,5.076,0.277,3.320
82,59.859,8.309,6.530,5.075,0.279,3.296
83,59.950,8.335,6.614,5.074,0.281,3.272
84,60.039,8.360,6.697,5.071,0.283,3.247
85,60.126,8.384,6.781,5.067,0.285,3.221
86,60.211,8.406,6.864,5.063,0.287,3.196
87,60.294,8.428,6.947,5.057,0.289,3.169
88,60.375,8.448,7.029,5.050,0.291,3.142
89,60.454,8.467,7.111,5.043,0.292,3.115
90,60.530,8.486,7.193,5.035,0.294,3.087
91,60.605,8.503,7.275,5.025,0.295,3.059
92,60.677,8.518,7.356,5.015,0.296,3.030
93,60.748,8.533,7.437,5.004,0.297,3.001
94,60.816,8.547,7.518,4.992,0.298,2.971
95,60.882,8.559,7.598,4.980,0.299,2.941
96,60.946,8.571,7.678,4.966,0.300,2.910
97,61.008,8.581,7.758,4.952,0.301,2.879
98,61.068,8.590,7.837,4.937,0.301,2.847
99,61.126,8.598,7.917,4.921,0.302,2.815
100,61.182,8.605,7.995,4.904,0.302,2.783
101,61.236,8.611,8.073,4.887,0.302,2.750
102,61.287,8.616,8.151,4.869,0.302,2.716
103,61.337,8.620,8.229,4.850,0.302,2.682
104,61.384,8.622,8.306,4.831,0.302,2.648
105,61.430,8.624,8.383,4.811,0.302,2.614
106,61.473,8.624,8.459,4.790,0.302,2.579
107,61.514,8.624,8.535,4.768,0.302,2.543
108,61.553,8.622,8.611,4.746,0.301,2.507
109,61.590,8.620,8.686,4.724,0.301,2.471
110,61.625,8.616,8.760,4.701,0.300,2.434
111,61.658,8.611,8.835,4.677,0.299,2.397
112,61.688,8.605,8.908,4.653,0.299,2.360
113,61.717,8.598,8.982,4.629,0.298,2.322
114,61.743,8.590,9.055,4.603,0.297,2.284
115,61.768,8.582,9.127,4.578,0.296,2.246
116,61.790,8.572,9.199,4.552,0.295,2.207
117,61.811,8.561,9.270,4.526,0.293,2.168
118,61.829,8.549,9.341,4.499,0.292,2.128
119,61.845,8.536,9.412,4.472,0.291,2.088
120,61.859,8.522,9.482,4.444,0.289,2.048
121,61.872,8.508,9.551,4.417,0.288,2.008
122,61.882,8.492,9.620,4.389,0.286,1.967
123,61.890,8.475,9.688,4.360,0.285,1.926
124,61.896,8.458,9.756,4.332,0.283,1.885
125,61.900,8.439,9.823,4.303,0.281,1.843
126,61.902,8.420,9.890,4.274,0.279,1.801
127,61.902,8.400,9.956,4.245,0.277,1.759
128,61.900,8.379,10.022,4.216,0.275,1.716
129,61.896,8.357,10.087,4.187,0.273,1.674
130,61.890,8.334,10.152,4.157,0.271,1.631
131,61.882,8.310,10.215,4.128,0.269,1.588
132,61.871,8.286,10.279,4.098,0.266,1.544
133,61.859,8.260,10.342,4.069,0.264,1.501
134,61.846,8.234,10.404,4.039,0.261,1.457
135,61.830,8.207,10.465,4.010,0.259,1.413
136,61.812,8.179,10.526,3.980,0.256,1.368
137,61.792,8.151,10.586,3.951,0.254,1.324
138,61.770,8.122,10.646,3.921,0.251,1.279
139,61.746,8.092,10.705,3.892,0.248,1.235
140,61.721,8.061,10.764,3.863,0.246,1.190
141,61.693,8.029,10.821,3.834,0.243,1.145
142,61.664,7.997,10.879,3.805,0.240,1.099
143,61.633,7.965,10.935,3.777,0.237,1.054
144,61.599,7.931,10.991,3.749,0.234,1.008
145,61.564,7.897,11.046,3.720,0.231,0.963
146,61.528,7.862,11.100,3.693,0.228,0.917
147,61.489,7.827,11.154,3.665,0.225,0.871
148,61.448,7.791,11.207,3.638,0.222,0.825
149,61.406,7.754,11.260,3.611,0.219,0.779
150,61.361,7.717,11.312,3.584,0.215,0.733
151,61.315,7.679,11.363,3.558,0.212,0.687
152,61.268,7.641,11.413,3.532,0.209,0.641
153,61.218,7.602,11.463,3.507,0.205,0.595
154,61.167,7.563,11.512,3.482,0.202,0.548
155,61.113,7.523,11.560,3.457,0.199,0.502
156,61.058,7.483,11.607,3.433,0.195,0.456
157,61.002,7.442,11.654,3.410,0.192,0.409
158,60.943,7.401,11.700,3.387,0.188,0.363
159,60.883,7.359,11.746,3.364,0.185,0.317
160,60.822,7.317,11.790,3.342,0.181,0.270
161,60.758,7.275,11.834,3.320,0.177,0.224
162,60.693,7.232,11.877,3.299,0.174,0.178
163,60.626,7.189,11.919,3.279,0.170,0.131
164,60.558,7.145,11.961,3.259,0.167,0.085
165,60.488,7.101,12.002,3.240,0.163,0.039
166,60.416,7.057,12.042,3.221,0.159,-0.007
167,60.343,7.012,12.081,3.203,0.155,-0.053
168,60.268,6.968,12.120,3.186,0.152,-0.099
169,60.191,6.922,12.157,3.169,0.148,-0.145
170,60.113,6.877,12.194,3.153,0.144,-0.190
171,60.034,6.832,12.230,3.138,0.140,-0.236
172,59.953,6.786,12.266,3.123,0.137,-0.281
173,59.870,6.740,12.300,3.109,0.133,-0.327
174,59.786,6.694,12.334,3.096,0.129,-0.372
175,59.700,6.647,12.367,3.083,0.125,-0.417
176,59.613,6.601,12.399,3.071,0.121,-0.462
177,59.524,6.554,12.430,3.060,0.117,-0.506
178,59.434,6.507,12.461,3.050,0.113,-0.551
179,59.343,6.461,12.491,3.040,0.110,-0.595
180,59.250,6.414,12.520,3.031,0.106,-0.639
181,59.156,6.367,12.548,3.023,0.102,-0.683
182,59.060,6.320,12.575,3.016,0.098,-0.727
183,58.963,6.272,12.601,3.009,0.094,-0.771
184,58.865,6.225,12.627,3.003,0.090,-0.814
185,58.765,6.178,12.652,2.998,0.086,-0.857
186,58.664,6.131,12.676,2.994,0.082,-0.900
187,58.562,6.084,12.699,2.990,0.078,-0.943
188,58.459,6.037,12.721,2.987,0.075,-0.985
189,58.354,5.990,12.743,2.985,0.071,-1.027
190,58.248,5.943,12.763,2.984,0.067,-1.069
191,58.141,5.896,12.783,2.983,0.063,-1.111
192,58.032,5.850,12.802,2.984,0.059,-1.152
193,57.922,5.803,12.820,2.985,0.055,-1.193
194,57.811,5.757,12.837,2.987,0.051,-1.233
195,57.699,5.710,12.853,2.989,0.048,-1.274
196,57.586,5.664,12.869,2.992,0.044,-1.314
197,57.472,5.618,12.883,2.997,0.040,-1.354
198,57.357,5.573,12.897,3.001,0.036,-1.393
199,57.240,5.527,12.910,3.007,0.032,-1.432
200,57.123,5.482,12.922,3.013,0.029,-1.471
201,57.004,5.437,12.933,3.020,0.025,-1.509
202,56.884,5.392,12.944,3.028,0.021,-1.548
203,56.764,5.347,12.953,3.037,0.017,-1.585
204,56.642,5.303,12.962,3.046,0.014,-1.623
205,56.519,5.259,12.969,3.056,0.010,-1.660
206,56.396,5.215,12.976,3.066,0.006,-1.696
207,56.271,5.172,12.982,3.078,0.003,-1.732
208,56.146,5.129,12.987,3.090,-0.001,-1.768
209,56.019,5.086,12.992,3.102,-0.005,-1.804
210,55.892,5.044,12.995,3.115,-0.008,-1.839
211,55.764,5.002,12.998,3.129,-0.012,-1.874
212,55.635,4.961,12.999,3.144,-0.015,-1.908
213,55.505,4.919,13.000,3.159,-0.019,-1.942
214,55.374,4.879,13.000,3.175,-0.022,-1.975
215,55.243,4.838,12.999,3.191,-0.026,-2.008
216,55.111,4.798,12.997,3.208,-0.029,-2.041
217,54.978,4.759,12.994,3.225,-0.032,-2.073
218,54.844,4.720,12.991,3.243,-0.036,-2.105
219,54.709,4.681,12.986,3.262,-0.039,-2.136
220,54.574,4.643,12.981,3.281,-0.042,-2.167
221,54.438,4.605,12.975,3.300,-0.046,-2.197
222,54.302,4.568,12.968,3.320,-0.049,-2.227
223,54.165,4.532,12.960,3.341,-0.052,-2.257
224,54.027,4.495,12.951,3.362,-0.055,-2.286
225,53.888,4.460,12.941,3.383,-0.058,-2.315
226,53.749,4.425,12.931,3.405,-0.062,-2.343
227,53.610,4.390,12.919,3.427,-0.065,-2.370
228,53.470,4.356,12.907,3.449,-0.068,-2.398
229,53.329,4.323,12.894,3.472,-0.071,-2.424
230,53.188,4.290,12.880,3.495,-0.074,-2.451
231,53.046,4.257,12.865,3.519,-0.077,-2.477
232,52.904,4.225,12.850,3.542,-0.080,-2.502
233,52.761,4.194,12.833,3.566,-0.082,-2.527
234,52.618,4.164,12.816,3.591,-0.085,-2.551
235,52.475,4.133,12.798,3.615,-0.088,-2.575
236,52.331,4.104,12.778,3.640,-0.091,-2.599
237,52.187,4.075,12.759,3.664,-0.093,-2.622
238,52.042,4.047,12.738,3.689,-0.096,-2.644
239,51.897,4.019,12.716,3.715,-0.099,-2.666
240,51.752,3.992,12.694,3.740,-0.101,-2.688
241,51.606,3.966,12.670,3.765,-0.104,-2.709
242,51.460,3.940,12.646,3.791,-0.107,-2.729
243,51.314,3.915,12.621,3.816,-0.109,-2.749
244,51.168,3.890,12.595,3.841,-0.111,-2.769
245,51.021,3.866,12.569,3.867,-0.114,-2.788
246,50.874,3.843,12.541,3.892,-0.116,-2.806
247,50.727,3.820,12.513,3.918,-0.119,-2.824
248,50.580,3.798,12.484,3.943,-0.121,-2.842
249,50.432,3.777,12.454,3.968,-0.123,-2.859
250,50.284,3.756,12.423,3.993,-0.125,-2.876
251,50.137,3.736,12.392,4.018,-0.127,-2.892
252,49.989,3.717,12.360,4.043,-0.130,-2.908
253,49.841,3.698,12.326,4.068,-0.132,-2.923
254,49.693,3.680,12.292,4.092,-0.134,-2.938
255,49.545,3.662,12.258,4.116,-0.136,-2.952
256,49.397,3.645,12.222,4.140,-0.138,-2.966
257,49.249,3.629,12.186,4.164,-0.140,-2.979
258,49.100,3.613,12.149,4.187,-0.142,-2.992
259,48.952,3.598,12.111,4.210,-0.143,-3.004
260,48.804,3.584,12.072,4.233,-0.145,-3.016
261,48.656,3.570,12.033,4.255,-0.147,-3.027
262,48.508,3.557,11.993,4.277,-0.149,-3.038
263,48.360,3.545,11.952,4.298,-0.150,-3.049
264,48.212,3.533,11.910,4.319,-0.152,-3.059
265,48.065,3.522,11.867,4.340,-0.154,-3.068
266,47.917,3.511,11.824,4.360,-0.155,-3.077
267,47.770,3.502,11.780,4.379,-0.157,-3.086
268,47.622,3.492,11.735,4.399,-0.158,-3.094
269,47.475,3.484,11.690,4.417,-0.160,-3.102
270,47.328,3.476,11.644,4.435,-0.161,-3.109
271,47.181,3.468,11.597,4.452,-0.162,-3.116
272,47.035,3.461,11.549,4.469,-0.164,-3.122
273,46.889,3.455,11.501,4.485,-0.165,-3.128
274,46.743,3.449,11.451,4.500,-0.166,-3.134
275,46.597,3.444,11.402,4.515,-0.167,-3.139
276,46.452,3.440,11.351,4.529,-0.169,-3.144
277,46.307,3.436,11.300,4.543,-0.170,-3.148
278,46.162,3.432,11.248,4.555,-0.171,-3.152
279,46.017,3.429,11.195,4.567,-0.172,-3.156
280,45.873,3.427,11.142,4.578,-0.173,-3.159
281,45.729,3.425,11.088,4.589,-0.174,-3.162
282,45.586,3.424,11.033,4.598,-0.175,-3.164
283,45.443,3.423,10.978,4.607,-0.176,-3.166
284,45.300,3.423,10.922,4.615,-0.177,-3.168
285,45.158,3.423,10.866,4.622,-0.177,-3.169
286,45.017,3.424,10.808,4.628,-0.178,-3.170
287,44.875,3.425,10.750,4.634,-0.179,-3.170
288,44.735,3.427,10.692,4.638,-0.180,-3.170
289,44.594,3.429,10.633,4.642,-0.180,-3.170
290,44.454,3.432,10.573,4.644,-0.181,-3.170
291,44.315,3.435,10.512,4.646,-0.182,-3.169
292,44.176,3.439,10.451,4.647,-0.182,-3.167
293,44.038,3.443,10.390,4.647,-0.183,-3.166
294,43.900,3.447,10.327,4.646,-0.184,-3.164
295,43.763,3.452,10.264,4.643,-0.184,-3.162
296,43.626,3.457,10.201,4.640,-0.185,-3.159
297,43.490,3.463,10.137,4.636,-0.185,-3.156
298,43.355,3.469,10.072,4.631,-0.186,-3.153
299,43.220,3.475,10.007,4.625,-0.186,-3.150
300,43.086,3.482,9.941,4.618,-0.186,-3.146
301,42.952,3.489,9.875,4.610,-0.187,-3.142
302,42.819,3.496,9.808,4.601,-0.187,-3.138
303,42.687,3.504,9.741,4.591,-0.187,-3.134
304,42.555,3.511,9.673,4.579,-0.188,-3.129
305,42.424,3.520,9.604,4.567,-0.188,-3.124
306,42.294,3.528,9.535,4.554,-0.188,-3.119
307,42.164,3.537,9.466,4.539,-0.188,-3.113
308,42.035,3.546,9.396,4.524,-0.189,-3.108
309,41.907,3.555,9.325,4.507,-0.189,-3.102
310,41.780,3.565,9.254,4.490,-0.189,-3.096
311,41.653,3.574,9.183,4.471,-0.189,-3.089
312,41.527,3.584,9.111,4.452,-0.189,-3.083
313,41.402,3.594,9.038,4.431,-0.189,-3.076
314,41.277,3.604,8.965,4.409,-0.189,-3.069
315,41.154,3.615,8.892,4.386,-0.190,-3.062
316,41.031,3.625,8.818,4.362,-0.190,-3.055
317,40.909,3.636,8.743,4.337,-0.190,-3.048
318,40.787,3.646,8.669,4.311,-0.190,-3.040
319,40.667,3.657,8.594,4.284,-0.190,-3.032
320,40.547,3.668,8.518,4.256,-0.190,-3.025
321,40.428,3.679,8.442,4.226,-0.190,-3.017
322,40.310,3.690,8.365,4.196,-0.190,-3.009
323,40.193,3.701,8.289,4.165,-0.190,-3.000
324,40.076,3.712,8.211,4.133,-0.190,-2.992
325,39.961,3.723,8.134,4.099,-0.190,-2.984
326,39.846,3.734,8.056,4.065,-0.190,-2.975
327,39.732,3.745,7.977,4.029,-0.190,-2.967
328,39.619,3.756,7.899,3.993,-0.190,-2.958
329,39.507,3.767,7.819,3.956,-0.190,-2.949
330,39.396,3.778,7.740,3.917,-0.190,-2.941
331,39.286,3.788,7.660,3.878,-0.190,-2.932
332,39.176,3.799,7.580,3.838,-0.190,-2.923
333,39.068,3.809,7.500,3.797,-0.190,-2.914
334,38.960,3.820,7.419,3.755,-0.190,-2.905
335,38.853,3.830,7.338,3.712,-0.190,-2.896
336,38.748,3.840,7.256,3.668,-0.190,-2.887
337,38.643,3.850,7.175,3.623,-0.190,-2.878
338,38.539,3.859,7.093,3.577,-0.190,-2.869
339,38.436,3.869,7.010,3.530,-0.190,-2.860
340,38.334,3.878,6.928,3.483,-0.190,-2.851
341,38.232,3.887,6.845,3.435,-0.190,-2.842
342,38.132,3.896,6.762,3.386,-0.190,-2.833
343,38.033,3.904,6.678,3.336,-0.190,-2.824
344,37.935,3.912,6.595,3.285,-0.190,-2.815
345,37.837,3.920,6.511,3.234,-0.190,-2.806
346,37.741,3.928,6.427,3.182,-0.190,-2.797
347,37.645,3.935,6.343,3.129,-0.190,-2.789
348,37.551,3.942,6.258,3.075,-0.190,-2.780
349,37.457,3.948,6.174,3.021,-0.191,-2.771
350,37.365,3.954,6.089,2.966,-0.191,-2.763
351,37.273,3.960,6.004,2.910,-0.191,-2.754
352,37.182,3.965,5.919,2.854,-0.191,-2.746
353,37.093,3.970,5.833,2.797,-0.191,-2.738
354,37.004,3.975,5.748,2.739,-0.192,-2.730
355,36.916,3.979,5.662,2.681,-0.192,-2.722
356,36.829,3.982,5.576,2.623,-0.192,-2.714
357,36.744,3.985,5.490,2.564,-0.193,-2.706
358,36.659,3.988,5.404,2.504,-0.193,-2.698
359,36.575,3.990,5.318,2.444,-0.194,-2.691
360,36.492,3.992,5.231,2.383,-0.194,-2.683
361,36.410,3.993,5.145,2.322,-0.195,-2.676
362,36.329,3.993,5.058,2.261,-0.195,-2.669
363,36.249,3.993,4.971,2.199,-0.196,-2.662
364,36.170,3.992,4.884,2.137,-0.196,-2.655
365,36.092,3.991,4.798,2.075,-0.197,-2.648
366,36.015,3.989,4.711,2.012,-0.197,-2.642
367,35.939,3.987,4.624,1.949,-0.198,-2.636
368,35.863,3.984,4.537,1.885,-0.199,-2.630
369,35.789,3.980,4.449,1.822,-0.200,-2.624
370,35.716,3.976,4.362,1.758,-0.201,-2.618
371,35.644,3.971,4.275,1.694,-0.201,-2.613
372,35.572,3.965,4.188,1.630,-0.202,-2.607
373,35.502,3.959,4.101,1.565,-0.203,-2.602
374,35.432,3.952,4.013,1.501,-0.204,-2.597
375,35.364,3.944,3.926,1.436,-0.205,-2.593
376,35.296,3.936,3.839,1.372,-0.207,-2.588
377,35.230,3.927,3.752,1.307,-0.208,-2.584
378,35.164,3.917,3.664,1.242,-0.209,-2.580
379,35.099,3.906,3.577,1.178,-0.210,-2.576
380,35.035,3.895,3.490,1.113,-0.212,-2.573
381,34.972,3.883,3.403,1.048,-0.213,-2.569
382,34.910,3.870,3.316,0.984,-0.214,-2.566
383,34.849,3.856,3.229,0.919,-0.216,-2.563
384,34.789,3.842,3.142,0.855,-0.217,-2.561
385,34.730,3.827,3.055,0.791,-0.219,-2.558
386,34.672,3.811,2.968,0.727,-0.221,-2.556
387,34.614,3.794,2.881,0.663,-0.223,-2.555
388,34.557,3.776,2.795,0.600,-0.224,-2.553
389,34.502,3.758,2.708,0.536,-0.226,-2.552
390,34.447,3.738,2.622,0.473,-0.228,-2.551
391,34.393,3.718,2.536,0.410,-0.230,-2.550
392,34.340,3.697,2.449,0.348,-0.232,-2.549
393,34.288,3.675,2.363,0.286,-0.234,-2.549
394,34.236,3.653,2.277,0.224,-0.237,-2.549
395,34.186,3.629,2.191,0.163,-0.239,-2.549
396,34.136,3.605,2.106,0.102,-0.241,-2.550
397,34.087,3.580,2.020,0.042,-0.244,-2.551
398,34.039,3.553,1.935,-0.018,-0.246,-2.552
399,33.992,3.526,1.850,-0.078,-0.249,-2.553
400,33.945,3.498,1.765,-0.137,-0.252,-2.555
401,33.900,3.470,1.680,-0.196,-0.254,-2.557
402,33.855,3.440,1.595,-0.254,-0.257,-2.559
403,33.811,3.409,1.511,-0.311,-0.260,-2.562
404,33.768,3.378,1.427,-0.368,-0.263,-2.565
405,33.725,3.345,1.343,-0.424,-0.266,-2.568
406,33.684,3.312,1.259,-0.480,-0.269,-2.571
407,33.643,3.278,1.175,-0.535,-0.272,-2.575
408,33.602,3.243,1.092,-0.589,-0.276,-2.578
409,33.563,3.207,1.009,-0.643,-0.279,-2.583
410,33.524,3.170,0.926,-0.696,-0.283,-2.587
411,33.486,3.132,0.843,-0.748,-0.286,-2.592
412,33.449,3.093,0.761,-0.800,-0.290,-2.597
413,33.412,3.054,0.678,-0.850,-0.294,-2.602
414,33.376,3.013,0.596,-0.901,-0.298,-2.608
415,33.341,2.972,0.515,-0.950,-0.302,-2.613
416,33.307,2.929,0.433,-0.998,-0.306,-2.620
417,33.273,2.886,0.352,-1.046,-0.310,-2.626
418,33.239,2.842,0.272,-1.093,-0.314,-2.633
419,33.207,2.797,0.191,-1.139,-0.318,-2.639
420,33.175,2.751,0.111,-1.184,-0.323,-2.647
421,33.144,2.704,0.031,-1.229,-0.327,-2.654
422,33.113,2.656,-0.049,-1.272,-0.332,-2.662
423,33.083,2.607,-0.128,-1.315,-0.336,-2.670
424,33.053,2.558,-0.207,-1.357,-0.341,-2.678
425,33.024,2.507,-0.286,-1.398,-0.346,-2.686
426,32.996,2.456,-0.364,-1.438,-0.351,-2.695
427,32.968,2.404,-0.442,-1.477,-0.356,-2.704
428,32.941,2.351,-0.520,-1.515,-0.362,-2.713
429,32.914,2.297,-0.597,-1.553,-0.367,-2.722
430,32.888,2.242,-0.674,-1.589,-0.372,-2.732
431,32.862,2.186,-0.751,-1.624,-0.378,-2.742
432,32.837,2.130,-0.827,-1.659,-0.383,-2.752
433,32.812,2.072,-0.903,-1.692,-0.389,-2.762
434,32.788,2.014,-0.978,-1.725,-0.395,-2.773
435,32.764,1.955,-1.054,-1.757,-0.401,-2.783
436,32.741,1.895,-1.128,-1.787,-0.407,-2.794
437,32.718,1.834,-1.203,-1.817,-0.413,-2.805
438,32.696,1.773,-1.277,-1.846,-0.419,-2.817
439,32.674,1.711,-1.351,-1.874,-0.426,-2.828
440,32.652,1.648,-1.424,-1.900,-0.432,-2.840
441,32.631,1.584,-1.497,-1.926,-0.439,-2.852
442,32.610,1.519,-1.569,-1.951,-0.446,-2.864
443,32.590,1.454,-1.641,-1.975,-0.452,-2.876
444,32.570,1.388,-1.713,-1.998,-0.459,-2.889
445,32.550,1.321,-1.784,-2.020,-0.466,-2.901
446,32.531,1.253,-1.855,-2.041,-0.474,-2.914
447,32.512,1.185,-1.925,-2.061,-0.481,-2.927
448,32.493,1.115,-1.995,-2.080,-0.488,-2.940
449,32.475,1.046,-2.065,-2.099,-0.496,-2.953
450,32.457,0.975,-2.134,-2.116,-0.503,-2.967
451,32.439,0.904,-2.203,-2.132,-0.511,-2.980
452,32.421,0.832,-2.271,-2.148,-0.519,-2.994
453,32.404,0.760,-2.339,-2.162,-0.527,-3.007
454,32.387,0.686,-2.406,-2.176,-0.535,-3.021
455,32.370,0.613,-2.473,-2.188,-0.543,-3.035
456,32.353,0.538,-2.539,-2.200,-0.552,-3.049
457,32.337,0.463,-2.605,-2.211,-0.560,-3.064
458,32.321,0.388,-2.671,-2.221,-0.569,-3.078
459,32.305,0.311,-2.736,-2.230,-0.577,-3.092
460,32.289,0.235,-2.800,-2.239,-0.586,-3.107
461,32.273,0.157,-2.865,-2.246,-0.595,-3.121
462,32.257,0.079,-2.928,-2.253,-0.604,-3.136
463,32.242,0.001,-2.991,-2.258,-0.613,-3.150
464,32.226,-0.078,-3.054,-2.263,-0.623,-3.165
465,32.211,-0.157,-3.116,-2.268,-0.632,-3.179
466,32.196,-0.237,-3.178,-2.271,-0.642,-3.194
467,32.181,-0.318,-3.239,-2.274,-0.651,-3.209
468,32.166,-0.399,-3.300,-2.275,-0.661,-3.224
469,32.151,-0.480,-3.361,-2.277,-0.671,-3.238
470,32.136,-0.562,-3.420,-2.277,-0.681,-3.253
471,32.121,-0.644,-3.480,-2.277,-0.691,-3.268
472,32.106,-0.726,-3.539,-2.276,-0.701,-3.283
473,32.091,-0.809,-3.597,-2.274,-0.712,-3.297
474,32.076,-0.892,-3.655,-2.272,-0.722,-3.312
475,32.061,-0.976,-3.712,-2.269,-0.733,-3.327
476,32.046,-1.060,-3.769,-2.265,-0.743,-3.342
477,32.030,-1.144,-3.825,-2.261,-0.754,-3.356
478,32.015,-1.229,-3.881,-2.256,-0.765,-3.371
479,32.000,-1.313,-3.937,-2.251,-0.776,-3.385
480,31.985,-1.398,-3.991,-2.245,-0.787,-3.400
481,31.969,-1.484,-4.046,-2.239,-0.799,-3.414
482,31.954,-1.569,-4.100,-2.232,-0.810,-3.428
483,31.938,-1.655,-4.153,-2.224,-0.822,-3.442
484,31.922,-1.741,-4.206,-2.216,-0.833,-3.457
485,31.906,-1.827,-4.258,-2.208,-0.845,-3.470
486,31.890,-1.913,-4.310,-2.199,-0.857,-3.484
487,31.873,-2.000,-4.361,-2.190,-0.869,-3.498
488,31.857,-2.086,-4.412,-2.181,-0.881,-3.512
489,31.840,-2.173,-4.462,-2.171,-0.894,-3.525
490,31.823,-2.259,-4.512,-2.160,-0.906,-3.538
491,31.806,-2.346,-4.561,-2.150,-0.919,-3.552
492,31.788,-2.433,-4.610,-2.139,-0.931,-3.565
493,31.771,-2.520,-4.658,-2.128,-0.944,-3.577
494,31.753,-2.607,-4.706,-2.117,-0.957,-3.590
495,31.735,-2.693,-4.753,-2.105,-0.970,-3.602
496,31.716,-2.780,-4.800,-2.093,-0.983,-3.615
497,31.697,-2.867,-4.846,-2.081,-0.996,-3.627
498,31.678,-2.954,-4.891,-2.069,-1.009,-3.639
499,31.659,-3.040,-4.936,-2.057,-1.023,-3.650
500,31.639,-3.127,-4.981,-2.044,-1.036,-3.662
501,31.619,-3.213,-5.025,-2.032,-1.050,-3.673
502,31.598,-3.300,-5.069,-2.019,-1.064,-3.684
