frame,flexion_deg,adduction_deg,internal_rotation_deg,anterior_translation_mm,proximal_translation_mm,lateral_translation_mm
103,63.360,9.345,10.785,5.316,0.523,0.775
104,63.316,9.327,10.842,5.284,0.521,0.734
105,63.270,9.309,10.899,5.251,0.519,0.693
106,63.222,9.289,10.955,5.217,0.517,0.652
107,63.172,9.269,11.011,5.183,0.515,0.610
108,63.121,9.247,11.066,5.148,0.513,0.569
109,63.067,9.224,11.120,5.113,0.511,0.527
110,63.011,9.200,11.174,5.077,0.509,0.484
111,62.954,9.175,11.227,5.040,0.506,0.442
112,62.895,9.149,11.279,5.003,0.504,0.399
113,62.834,9.122,11.330,4.965,0.501,0.356
114,62.771,9.094,11.381,4.927,0.498,0.313
115,62.706,9.065,11.431,4.889,0.496,0.270
116,62.639,9.035,11.481,4.850,0.493,0.226
117,62.570,9.004,11.529,4.810,0.490,0.182
118,62.500,8.971,11.577,4.770,0.487,0.138
119,62.428,8.938,11.625,4.730,0.483,0.094
120,62.354,8.904,11.671,4.690,0.480,0.050
121,62.278,8.869,11.717,4.649,0.477,0.006
122,62.201,8.833,11.762,4.608,0.473,-0.039
123,62.122,8.796,11.806,4.567,0.470,-0.084
124,62.041,8.758,11.850,4.525,0.466,-0.128
125,61.958,8.719,11.893,4.483,0.463,-0.173
126,61.873,8.679,11.935,4.441,0.459,-0.219
127,61.787,8.639,11.976,4.399,0.455,-0.264
128,61.700,8.597,12.016,4.357,0.451,-0.309
129,61.610,8.555,12.056,4.314,0.447,-0.354
130,61.519,8.511,12.095,4.271,0.443,-0.400
131,61.426,8.467,12.133,4.229,0.439,-0.446
132,61.332,8.422,12.171,4.186,0.435,-0.491
133,61.236,8.376,12.207,4.143,0.431,-0.537
134,61.139,8.330,12.243,4.101,0.426,-0.583
135,61.040,8.282,12.278,4.058,0.422,-0.628
136,60.939,8.234,12.313,4.015,0.417,-0.674
137,60.837,8.185,12.346,3.973,0.413,-0.720
138,60.733,8.135,12.379,3.930,0.408,-0.766
139,60.628,8.085,12.411,3.888,0.404,-0.812
140,60.521,8.033,12.442,3.845,0.399,-0.857
141,60.413,7.981,12.472,3.803,0.394,-0.903
142,60.303,7.929,12.501,3.761,0.389,-0.949
143,60.192,7.876,12.530,3.720,0.385,-0.995
144,60.080,7.822,12.558,3.678,0.380,-1.040
145,59.966,7.767,12.585,3.637,0.375,-1.086
146,59.850,7.712,12.611,3.596,0.370,-1.132
147,59.734,7.656,12.636,3.555,0.365,-1.177
148,59.616,7.599,12.661,3.515,0.359,-1.223
149,59.496,7.542,12.684,3.475,0.354,-1.268
150,59.376,7.485,12.707,3.435,0.349,-1.313
151,59.254,7.427,12.729,3.396,0.344,-1.358
152,59.130,7.368,12.750,3.357,0.338,-1.403
153,59.006,7.309,12.770,3.318,0.333,-1.448
154,58.880,7.249,12.790,3.280,0.328,-1.493
155,58.753,7.189,12.808,3.242,0.322,-1.538
156,58.624,7.128,12.826,3.205,0.317,-1.582
157,58.495,7.067,12.843,3.168,0.311,-1.627
158,58.364,7.005,12.859,3.132,0.306,-1.671
159,58.232,6.943,12.874,3.097,0.300,-1.715
160,58.099,6.881,12.889,3.061,0.295,-1.759
161,57.965,6.818,12.902,3.027,0.289,-1.802
162,57.830,6.755,12.915,2.993,0.283,-1.846
163,57.694,6.691,12.926,2.959,0.278,-1.889
164,57.556,6.628,12.937,2.926,0.272,-1.932
165,57.418,6.563,12.947,2.894,0.266,-1.975
166,57.278,6.499,12.956,2.863,0.260,-2.017
167,57.138,6.434,12.965,2.832,0.254,-2.059
168,56.996,6.369,12.972,2.801,0.249,-2.101
169,56.854,6.304,12.979,2.772,0.243,-2.143
170,56.710,6.239,12.984,2.743,0.237,-2.185
171,56.566,6.173,12.989,2.714,0.231,-2.226
172,56.421,6.107,12.993,2.687,0.225,-2.267
173,56.274,6.041,12.996,2.660,0.219,-2.308
174,56.127,5.975,12.998,2.634,0.213,-2.348
175,55.979,5.909,13.000,2.608,0.207,-2.388
176,55.831,5.842,13.000,2.584,0.201,-2.428
177,55.681,5.776,13.000,2.560,0.195,-2.467
178,55.531,5.709,12.998,2.537,0.189,-2.506
179,55.379,5.642,12.996,2.514,0.183,-2.545
180,55.227,5.576,12.993,2.492,0.177,-2.584
181,55.075,5.509,12.989,2.472,0.171,-2.622
182,54.921,5.442,12.984,2.451,0.165,-2.659
183,54.767,5.375,12.979,2.432,0.159,-2.697
184,54.612,5.308,12.972,2.414,0.153,-2.734
185,54.457,5.242,12.965,2.396,0.147,-2.770
186,54.301,5.175,12.957,2.379,0.141,-2.807
187,54.144,5.108,12.948,2.363,0.135,-2.843
188,53.986,5.042,12.938,2.347,0.129,-2.878
189,53.828,4.975,12.927,2.333,0.123,-2.913
190,53.670,4.909,12.915,2.319,0.117,-2.948
191,53.511,4.843,12.903,2.306,0.111,-2.982
192,53.351,4.776,12.889,2.294,0.105,-3.016
193,53.191,4.711,12.875,2.282,0.099,-3.049
194,53.030,4.645,12.860,2.272,0.093,-3.082
195,52.869,4.579,12.844,2.262,0.087,-3.115
196,52.708,4.514,12.827,2.253,0.081,-3.147
197,52.546,4.449,12.809,2.245,0.075,-3.178
198,52.383,4.384,12.791,2.237,0.069,-3.210
199,52.220,4.319,12.771,2.231,0.063,-3.240
200,52.057,4.255,12.751,2.225,0.058,-3.271
201,51.894,4.191,12.730,2.220,0.052,-3.300
202,51.730,4.127,12.708,2.215,0.046,-3.330
203,51.566,4.064,12.685,2.212,0.040,-3.359
204,51.401,4.001,12.662,2.209,0.034,-3.387
205,51.236,3.938,12.637,2.206,0.028,-3.415
206,51.071,3.876,12.612,2.205,0.022,-3.442
207,50.906,3.814,12.586,2.204,0.017,-3.469
208,50.740,3.752,12.559,2.204,0.011,-3.496
209,50.575,3.691,12.531,2.205,0.005,-3.522
210,50.409,3.630,12.503,2.206,-0.001,-3.547
211,50.243,3.570,12.473,2.208,-0.006,-3.572
212,50.076,3.510,12.443,2.211,-0.012,-3.597
213,49.910,3.450,12.412,2.214,-0.018,-3.620
214,49.744,3.391,12.380,2.218,-0.023,-3.644
215,49.577,3.332,12.348,2.223,-0.029,-3.667
216,49.410,3.274,12.314,2.228,-0.035,-3.689
217,49.244,3.217,12.280,2.234,-0.040,-3.711
218,49.077,3.160,12.245,2.240,-0.046,-3.732
219,48.910,3.103,12.209,2.247,-0.051,-3.753
220,48.743,3.047,12.172,2.255,-0.057,-3.773
221,48.577,2.992,12.135,2.263,-0.062,-3.793
222,48.410,2.937,12.097,2.272,-0.068,-3.812
223,48.243,2.882,12.058,2.281,-0.073,-3.831
224,48.077,2.829,12.018,2.290,-0.078,-3.849
225,47.910,2.775,11.978,2.300,-0.084,-3.867
226,47.744,2.723,11.936,2.311,-0.089,-3.884
227,47.578,2.671,11.894,2.321,-0.094,-3.901
228,47.412,2.619,11.852,2.333,-0.099,-3.917
229,47.246,2.568,11.808,2.344,-0.104,-3.932
230,47.080,2.518,11.764,2.356,-0.110,-3.947
231,46.914,2.469,11.719,2.369,-0.115,-3.962
232,46.749,2.420,11.673,2.382,-0.120,-3.976
233,46.584,2.371,11.627,2.395,-0.125,-3.989
234,46.419,2.324,11.579,2.408,-0.130,-4.002
235,46.254,2.277,11.531,2.422,-0.135,-4.014
236,46.090,2.231,11.483,2.435,-0.140,-4.026
237,45.926,2.185,11.433,2.449,-0.144,-4.037
238,45.762,2.140,11.383,2.464,-0.149,-4.048
239,45.599,2.096,11.333,2.478,-0.154,-4.058
240,45.436,2.052,11.281,2.493,-0.159,-4.068
241,45.273,2.009,11.229,2.508,-0.163,-4.077
242,45.110,1.967,11.176,2.522,-0.168,-4.085
243,44.948,1.926,11.123,2.537,-0.173,-4.094
244,44.787,1.885,11.068,2.552,-0.177,-4.101
245,44.626,1.845,11.013,2.567,-0.182,-4.108
246,44.465,1.806,10.958,2.583,-0.186,-4.115
247,44.305,1.767,10.902,2.598,-0.191,-4.121
248,44.145,1.729,10.845,2.613,-0.195,-4.126
249,43.986,1.692,10.787,2.628,-0.200,-4.131
250,43.827,1.655,10.729,2.643,-0.204,-4.136
251,43.668,1.620,10.670,2.658,-0.208,-4.140
252,43.511,1.585,10.611,2.673,-0.212,-4.143
253,43.353,1.550,10.551,2.687,-0.217,-4.146
254,43.197,1.517,10.490,2.702,-0.221,-4.148
255,43.041,1.484,10.429,2.716,-0.225,-4.150
256,42.885,1.452,10.367,2.730,-0.229,-4.152
257,42.730,1.421,10.304,2.744,-0.233,-4.153
258,42.576,1.390,10.241,2.758,-0.237,-4.153
259,42.422,1.360,10.178,2.771,-0.241,-4.154
260,42.269,1.331,10.113,2.784,-0.245,-4.153
261,42.116,1.302,10.049,2.797,-0.249,-4.152
262,41.964,1.275,9.983,2.809,-0.252,-4.151
263,41.813,1.248,9.917,2.821,-0.256,-4.149
264,41.663,1.221,9.851,2.833,-0.260,-4.147
265,41.513,1.196,9.784,2.844,-0.263,-4.144
266,41.364,1.171,9.716,2.855,-0.267,-4.141
267,41.215,1.147,9.648,2.866,-0.271,-4.137
268,41.068,1.123,9.579,2.876,-0.274,-4.133
269,40.921,1.101,9.510,2.885,-0.278,-4.129
270,40.775,1.079,9.440,2.894,-0.281,-4.124
271,40.629,1.057,9.370,2.903,-0.284,-4.119
272,40.484,1.037,9.299,2.910,-0.288,-4.113
273,40.341,1.017,9.228,2.918,-0.291,-4.107
274,40.198,0.997,9.156,2.924,-0.294,-4.100
275,40.055,0.979,9.084,2.931,-0.298,-4.093
276,39.914,0.961,9.012,2.936,-0.301,-4.086
277,39.773,0.944,8.938,2.941,-0.304,-4.078
278,39.633,0.927,8.865,2.945,-0.307,-4.070
279,39.494,0.911,8.791,2.949,-0.310,-4.062
280,39.356,0.896,8.716,2.951,-0.313,-4.053
281,39.219,0.881,8.641,2.953,-0.316,-4.044
282,39.083,0.867,8.566,2.955,-0.319,-4.034
283,38.947,0.854,8.490,2.955,-0.322,-4.024
284,38.813,0.841,8.414,2.955,-0.325,-4.014
285,38.679,0.829,8.337,2.954,-0.327,-4.004
286,38.546,0.817,8.260,2.953,-0.330,-3.993
287,38.414,0.806,8.183,2.950,-0.333,-3.982
288,38.283,0.796,8.105,2.947,-0.335,-3.970
289,38.153,0.786,8.027,2.943,-0.338,-3.958
290,38.024,0.777,7.949,2.938,-0.341,-3.946
291,37.896,0.768,7.870,2.932,-0.343,-3.934
292,37.768,0.760,7.791,2.925,-0.346,-3.921
293,37.642,0.752,7.711,2.917,-0.348,-3.908
294,37.517,0.745,7.631,2.909,-0.351,-3.895
295,37.392,0.739,7.551,2.899,-0.353,-3.882
296,37.269,0.732,7.470,2.889,-0.356,-3.868
297,37.146,0.727,7.389,2.878,-0.358,-3.854
298,37.025,0.722,7.308,2.865,-0.360,-3.840
299,36.904,0.717,7.227,2.852,-0.363,-3.825
300,36.785,0.713,7.145,2.838,-0.365,-3.811
301,36.666,0.709,7.063,2.823,-0.367,-3.796
302,36.549,0.706,6.980,2.807,-0.369,-3.781
303,36.433,0.703,6.898,2.790,-0.371,-3.765
304,36.317,0.700,6.815,2.772,-0.373,-3.750
305,36.203,0.698,6.731,2.753,-0.376,-3.734
306,36.089,0.696,6.648,2.733,-0.378,-3.718
307,35.977,0.695,6.564,2.713,-0.380,-3.702
308,35.865,0.694,6.481,2.691,-0.382,-3.686
309,35.755,0.694,6.396,2.668,-0.384,-3.670
310,35.646,0.693,6.312,2.644,-0.386,-3.653
311,35.537,0.693,6.228,2.619,-0.387,-3.637
312,35.430,0.694,6.143,2.593,-0.389,-3.620
313,35.324,0.694,6.058,2.566,-0.391,-3.603
314,35.219,0.695,5.973,2.539,-0.393,-3.586
315,35.115,0.696,5.887,2.510,-0.395,-3.569
316,35.012,0.698,5.802,2.480,-0.397,-3.552
317,34.910,0.699,5.716,2.449,-0.399,-3.535
318,34.809,0.701,5.631,2.418,-0.400,-3.517
319,34.709,0.703,5.545,2.385,-0.402,-3.500
320,34.610,0.705,5.459,2.351,-0.404,-3.483
321,34.512,0.708,5.372,2.316,-0.406,-3.465
322,34.415,0.710,5.286,2.281,-0.407,-3.447
323,34.320,0.713,5.200,2.244,-0.409,-3.430
324,34.225,0.716,5.113,2.207,-0.411,-3.412
325,34.131,0.719,5.026,2.168,-0.412,-3.394
326,34.039,0.722,4.940,2.129,-0.414,-3.377
327,33.947,0.725,4.853,2.088,-0.415,-3.359
328,33.857,0.729,4.766,2.047,-0.417,-3.341
329,33.767,0.732,4.679,2.005,-0.419,-3.323
330,33.679,0.735,4.592,1.962,-0.420,-3.306
331,33.592,0.739,4.505,1.918,-0.422,-3.288
332,33.506,0.742,4.418,1.873,-0.423,-3.270
333,33.420,0.746,4.331,1.827,-0.425,-3.252
334,33.336,0.749,4.243,1.781,-0.427,-3.235
335,33.253,0.752,4.156,1.733,-0.428,-3.217
336,33.171,0.756,4.069,1.685,-0.430,-3.200
337,33.090,0.759,3.982,1.636,-0.431,-3.182
338,33.010,0.762,3.894,1.586,-0.433,-3.165
339,32.931,0.765,3.807,1.535,-0.434,-3.147
340,32.853,0.768,3.720,1.484,-0.436,-3.130
341,32.776,0.771,3.633,1.432,-0.437,-3.113
342,32.700,0.774,3.545,1.379,-0.439,-3.096
343,32.625,0.776,3.458,1.325,-0.441,-3.079
344,32.552,0.779,3.371,1.271,-0.442,-3.062
345,32.479,0.781,3.284,1.216,-0.444,-3.045
346,32.407,0.783,3.197,1.160,-0.445,-3.028
347,32.336,0.785,3.110,1.104,-0.447,-3.012
348,32.266,0.787,3.023,1.047,-0.448,-2.995
349,32.197,0.788,2.937,0.989,-0.450,-2.979
350,32.130,0.789,2.850,0.931,-0.452,-2.963
351,32.063,0.790,2.763,0.872,-0.453,-2.947
352,31.997,0.791,2.677,0.813,-0.455,-2.931
353,31.932,0.791,2.590,0.753,-0.456,-2.915
354,31.868,0.791,2.504,0.693,-0.458,-2.900
355,31.805,0.791,2.418,0.632,-0.460,-2.885
356,31.743,0.790,2.332,0.571,-0.461,-2.869
357,31.682,0.789,2.246,0.509,-0.463,-2.854
358,31.622,0.788,2.160,0.447,-0.465,-2.840
359,31.563,0.786,2.075,0.384,-0.467,-2.825
360,31.504,0.784,1.989,0.321,-0.468,-2.811
361,31.447,0.781,1.904,0.258,-0.470,-2.796
362,31.391,0.778,1.819,0.194,-0.472,-2.782
363,31.335,0.775,1.734,0.130,-0.474,-2.769
364,31.280,0.771,1.649,0.066,-0.476,-2.755
365,31.227,0.767,1.565,0.002,-0.478,-2.742
366,31.174,0.762,1.480,-0.063,-0.480,-2.728
367,31.122,0.757,1.396,-0.128,-0.481,-2.715
368,31.071,0.751,1.312,-0.193,-0.483,-2.703
369,31.021,0.745,1.228,-0.258,-0.485,-2.690
370,30.971,0.738,1.145,-0.324,-0.487,-2.678
371,30.923,0.731,1.061,-0.389,-0.490,-2.666
372,30.875,0.723,0.978,-0.455,-0.492,-2.654
373,30.828,0.715,0.896,-0.520,-0.494,-2.643
374,30.782,0.706,0.813,-0.586,-0.496,-2.632
375,30.737,0.696,0.731,-0.652,-0.498,-2.621
376,30.693,0.686,0.649,-0.718,-0.500,-2.610
377,30.649,0.675,0.567,-0.783,-0.503,-2.599
378,30.606,0.664,0.485,-0.849,-0.505,-2.589
379,30.564,0.652,0.404,-0.914,-0.507,-2.579
380,30.523,0.640,0.323,-0.980,-0.510,-2.570
381,30.483,0.627,0.242,-1.045,-0.512,-2.560
382,30.443,0.613,0.162,-1.110,-0.515,-2.551
383,30.404,0.598,0.082,-1.175,-0.517,-2.542
384,30.366,0.583,0.002,-1.240,-0.520,-2.533
385,30.328,0.568,-0.078,-1.304,-0.523,-2.525
386,30.291,0.551,-0.157,-1.368,-0.525,-2.517
387,30.255,0.534,-0.236,-1.432,-0.528,-2.509
388,30.220,0.516,-0.314,-1.496,-0.531,-2.502
389,30.185,0.498,-0.393,-1.559,-0.534,-2.495
390,30.151,0.479,-0.470,-1.622,-0.537,-2.488
391,30.117,0.459,-0.548,-1.685,-0.540,-2.481
392,30.085,0.438,-0.625,-1.747,-0.543,-2.475
393,30.052,0.417,-0.702,-1.809,-0.546,-2.469
394,30.021,0.395,-0.779,-1.870,-0.549,-2.463
395,29.990,0.372,-0.855,-1.931,-0.552,-2.457
396,29.960,0.349,-0.930,-1.991,-0.555,-2.452
397,29.930,0.325,-1.006,-2.051,-0.559,-2.447
398,29.901,0.300,-1.081,-2.110,-0.562,-2.442
399,29.872,0.274,-1.156,-2.169,-0.566,-2.438
400,29.844,0.247,-1.230,-2.227,-0.569,-2.434
401,29.816,0.220,-1.304,-2.285,-0.573,-2.430
402,29.789,0.192,-1.377,-2.341,-0.576,-2.426
403,29.763,0.163,-1.450,-2.398,-0.580,-2.423
404,29.737,0.134,-1.523,-2.453,-0.584,-2.420
405,29.712,0.103,-1.595,-2.508,-0.588,-2.417
406,29.687,0.072,-1.667,-2.563,-0.592,-2.415
407,29.662,0.040,-1.739,-2.616,-0.596,-2.413
408,29.638,0.008,-1.810,-2.669,-0.600,-2.411
409,29.615,-0.026,-1.881,-2.721,-0.604,-2.409
410,29.591,-0.060,-1.951,-2.772,-0.608,-2.408
411,29.569,-0.095,-2.021,-2.823,-0.612,-2.407
412,29.546,-0.131,-2.090,-2.872,-0.617,-2.406
413,29.525,-0.167,-2.159,-2.921,-0.621,-2.405
414,29.503,-0.205,-2.227,-2.969,-0.626,-2.405
415,29.482,-0.243,-2.296,-3.016,-0.630,-2.405
416,29.461,-0.282,-2.363,-3.063,-0.635,-2.405
417,29.441,-0.321,-2.430,-3.108,-0.640,-2.405
418,29.421,-0.362,-2.497,-3.152,-0.644,-2.406
419,29.401,-0.403,-2.563,-3.196,-0.649,-2.407
420,29.381,-0.445,-2.629,-3.239,-0.654,-2.408
421,29.362,-0.488,-2.695,-3.281,-0.659,-2.409
422,29.343,-0.531,-2.759,-3.321,-0.665,-2.411
423,29.325,-0.576,-2.824,-3.361,-0.670,-2.413
424,29.306,-0.621,-2.888,-3.400,-0.675,-2.415
425,29.288,-0.667,-2.951,-3.438,-0.681,-2.417
426,29.270,-0.713,-3.014,-3.475,-0.686,-2.419
427,29.253,-0.760,-3.077,-3.511,-0.692,-2.422
428,29.235,-0.809,-3.139,-3.546,-0.697,-2.425
429,29.218,-0.857,-3.201,-3.580,-0.703,-2.428
430,29.201,-0.907,-3.262,-3.613,-0.709,-2.431
431,29.184,-0.957,-3.322,-3.645,-0.715,-2.435
432,29.168,-1.008,-3.382,-3.676,-0.721,-2.439
433,29.151,-1.060,-3.442,-3.706,-0.727,-2.442
434,29.135,-1.113,-3.501,-3.735,-0.734,-2.446
435,29.118,-1.166,-3.560,-3.763,-0.740,-2.451
436,29.102,-1.220,-3.618,-3.790,-0.746,-2.455
437,29.086,-1.274,-3.676,-3.815,-0.753,-2.460
438,29.070,-1.330,-3.733,-3.840,-0.759,-2.464
439,29.054,-1.385,-3.790,-3.864,-0.766,-2.469
440,29.038,-1.442,-3.846,-3.887,-0.773,-2.474
441,29.023,-1.499,-3.901,-3.908,-0.780,-2.479
442,29.007,-1.557,-3.957,-3.929,-0.787,-2.484
443,28.991,-1.616,-4.011,-3.948,-0.794,-2.490
444,28.975,-1.675,-4.065,-3.967,-0.801,-2.495
445,28.959,-1.735,-4.119,-3.984,-0.809,-2.501
446,28.944,-1.795,-4.172,-4.001,-0.816,-2.506
447,28.928,-1.856,-4.225,-4.016,-0.823,-2.512
448,28.912,-1.918,-4.277,-4.031,-0.831,-2.518
449,28.896,-1.980,-4.329,-4.044,-0.839,-2.524
450,28.880,-2.043,-4.380,-4.056,-0.847,-2.530
451,28.864,-2.106,-4.430,-4.068,-0.855,-2.536
452,28.848,-2.170,-4.480,-4.078,-0.863,-2.543
453,28.832,-2.235,-4.530,-4.087,-0.871,-2.549
454,28.815,-2.300,-4.579,-4.096,-0.879,-2.555
455,28.799,-2.365,-4.627,-4.103,-0.887,-2.562
456,28.782,-2.431,-4.675,-4.109,-0.896,-2.568
457,28.765,-2.498,-4.723,-4.115,-0.904,-2.575
458,28.748,-2.565,-4.770,-4.119,-0.913,-2.581
459,28.731,-2.632,-4.816,-4.123,-0.922,-2.588
460,28.714,-2.700,-4.862,-4.125,-0.930,-2.594
461,28.696,-2.769,-4.908,-4.127,-0.939,-2.601
462,28.679,-2.838,-4.953,-4.128,-0.948,-2.607
463,28.661,-2.907,-4.997,-4.128,-0.958,-2.614
464,28.643,-2.976,-5.041,-4.127,-0.967,-2.620
465,28.624,-3.046,-5.084,-4.125,-0.976,-2.627
466,28.606,-3.117,-5.127,-4.122,-0.986,-2.633
467,28.587,-3.187,-5.170,-4.118,-0.995,-2.640
468,28.567,-3.258,-5.211,-4.114,-1.005,-2.646
469,28.548,-3.330,-5.253,-4.109,-1.015,-2.653
470,28.528,-3.401,-5.294,-4.103,-1.025,-2.659
471,28.508,-3.473,-5.334,-4.096,-1.035,-2.665
472,28.488,-3.546,-5.374,-4.088,-1.045,-2.671
473,28.467,-3.618,-5.413,-4.080,-1.055,-2.677
474,28.446,-3.691,-5.452,-4.071,-1.066,-2.683
475,28.425,-3.764,-5.490,-4.061,-1.076,-2.689
476,28.403,-3.837,-5.528,-4.051,-1.087,-2.695
477,28.381,-3.911,-5.565,-4.040,-1.097,-2.701
478,28.358,-3.984,-5.602,-4.028,-1.108,-2.706
479,28.335,-4.058,-5.638,-4.015,-1.119,-2.712
480,28.312,-4.132,-5.674,-4.002,-1.130,-2.717
481,28.288,-4.206,-5.709,-3.989,-1.141,-2.722
482,28.264,-4.280,-5.744,-3.975,-1.152,-2.727
483,28.239,-4.355,-5.778,-3.960,-1.163,-2.732
484,28.214,-4.429,-5.812,-3.944,-1.175,-2.737
485,28.189,-4.503,-5.845,-3.929,-1.186,-2.741
486,28.163,-4.578,-5.878,-3.912,-1.198,-2.746
487,28.137,-4.652,-5.910,-3.896,-1.210,-2.750
488,28.110,-4.727,-5.942,-3.878,-1.222,-2.754
489,28.082,-4.802,-5.973,-3.861,-1.233,-2.757
490,28.055,-4.876,-6.004,-3.843,-1.245,-2.761
491,28.026,-4.951,-6.034,-3.824,-1.258,-2.764
492,27.997,-5.025,-6.064,-3.805,-1.270,-2.768
493,27.968,-5.099,-6.093,-3.786,-1.282,-2.771
494,27.938,-5.174,-6.122,-3.767,-1.295,-2.773
495,27.908,-5.248,-6.150,-3.747,-1.307,-2.776
