time,flex,add,introt,ant,prox,lat
1.141,43.001,2.613,11.891,0.741,0.804,-4.009
1.151,42.782,2.542,11.848,0.676,0.795,-4.033
1.161,42.563,2.471,11.804,0.611,0.785,-4.057
1.171,42.344,2.400,11.760,0.546,0.776,-4.081
1.181,42.126,2.327,11.715,0.481,0.767,-4.104
1.191,41.908,2.254,11.669,0.415,0.757,-4.127
1.201,41.690,2.181,11.622,0.349,0.748,-4.149
1.211,41.473,2.106,11.575,0.284,0.738,-4.172
1.221,41.257,2.031,11.527,0.218,0.728,-4.194
1.231,41.041,1.955,11.478,0.152,0.719,-4.216
1.241,40.825,1.879,11.429,0.086,0.709,-4.237
1.251,40.610,1.801,11.379,0.020,0.699,-4.258
1.261,40.396,1.724,11.328,-0.046,0.689,-4.279
1.271,40.182,1.645,11.276,-0.112,0.678,-4.300
1.281,39.968,1.566,11.224,-0.178,0.668,-4.320
1.291,39.755,1.487,11.171,-0.244,0.658,-4.340
1.301,39.543,1.407,11.118,-0.310,0.647,-4.360
1.311,39.331,1.326,11.063,-0.376,0.637,-4.379
1.321,39.120,1.245,11.008,-0.441,0.626,-4.398
1.331,38.910,1.163,10.953,-0.506,0.616,-4.416
1.341,38.700,1.081,10.896,-0.572,0.605,-4.434
1.351,38.491,0.998,10.840,-0.637,0.594,-4.452
1.361,38.283,0.914,10.782,-0.701,0.583,-4.469
1.371,38.076,0.831,10.724,-0.766,0.572,-4.486
1.381,37.869,0.747,10.665,-0.830,0.561,-4.503
1.391,37.663,0.662,10.605,-0.893,0.550,-4.519
1.401,37.457,0.577,10.545,-0.957,0.539,-4.535
1.411,37.253,0.491,10.485,-1.020,0.528,-4.550
1.421,37.049,0.406,10.423,-1.082,0.517,-4.565
1.431,36.846,0.319,10.361,-1.145,0.505,-4.580
1.441,36.644,0.233,10.299,-1.206,0.494,-4.594
1.451,36.443,0.146,10.236,-1.268,0.483,-4.607
1.461,36.243,0.059,10.172,-1.329,0.471,-4.620
1.471,36.043,-0.029,10.107,-1.389,0.460,-4.633
1.481,35.844,-0.117,10.043,-1.449,0.448,-4.645
1.491,35.647,-0.205,9.977,-1.508,0.436,-4.657
1.502,35.450,-0.293,9.911,-1.567,0.425,-4.669
1.512,35.254,-0.381,9.845,-1.625,0.413,-4.679
1.522,35.059,-0.470,9.777,-1.683,0.401,-4.690
1.532,34.865,-0.559,9.710,-1.739,0.389,-4.700
1.542,34.672,-0.648,9.642,-1.796,0.377,-4.709
1.552,34.480,-0.738,9.573,-1.851,0.366,-4.718
1.562,34.289,-0.827,9.504,-1.906,0.354,-4.726
1.572,34.099,-0.917,9.434,-1.960,0.342,-4.734
1.582,33.910,-1.006,9.364,-2.014,0.330,-4.742
1.592,33.722,-1.096,9.293,-2.066,0.318,-4.749
1.602,33.535,-1.186,9.222,-2.118,0.305,-4.755
1.612,33.350,-1.276,9.150,-2.170,0.293,-4.761
1.622,33.165,-1.365,9.078,-2.220,0.281,-4.766
1.632,32.981,-1.455,9.005,-2.270,0.269,-4.771
1.642,32.799,-1.545,8.932,-2.318,0.257,-4.775
1.652,32.617,-1.635,8.858,-2.366,0.245,-4.779
1.662,32.437,-1.725,8.784,-2.414,0.232,-4.782
1.672,32.258,-1.815,8.709,-2.460,0.220,-4.785
1.682,32.080,-1.904,8.634,-2.505,0.208,-4.787
1.692,31.903,-1.994,8.559,-2.550,0.195,-4.789
1.702,31.727,-2.083,8.483,-2.593,0.183,-4.790
1.712,31.552,-2.173,8.407,-2.636,0.171,-4.790
1.722,31.379,-2.262,8.330,-2.678,0.158,-4.790
1.732,31.207,-2.351,8.253,-2.719,0.146,-4.790
1.742,31.036,-2.440,8.176,-2.758,0.134,-4.789
1.752,30.866,-2.528,8.098,-2.797,0.121,-4.787
1.762,30.697,-2.617,8.020,-2.835,0.109,-4.785
1.772,30.530,-2.705,7.941,-2.872,0.097,-4.782
1.782,30.364,-2.793,7.862,-2.908,0.084,-4.778
1.792,30.199,-2.880,7.783,-2.943,0.072,-4.774
1.802,30.035,-2.968,7.704,-2.978,0.059,-4.770
1.812,29.873,-3.055,7.624,-3.011,0.047,-4.765
1.822,29.712,-3.141,7.543,-3.043,0.034,-4.759
1.832,29.552,-3.228,7.463,-3.074,0.022,-4.753
1.842,29.393,-3.314,7.382,-3.104,0.010,-4.746
1.852,29.236,-3.399,7.301,-3.133,-0.003,-4.739
1.862,29.080,-3.484,7.219,-3.161,-0.015,-4.731
1.872,28.926,-3.569,7.137,-3.188,-0.028,-4.722
1.882,28.772,-3.653,7.055,-3.214,-0.040,-4.713
1.892,28.620,-3.737,6.973,-3.239,-0.052,-4.704
1.902,28.469,-3.820,6.890,-3.263,-0.065,-4.694
1.912,28.320,-3.903,6.807,-3.286,-0.077,-4.683
1.922,28.172,-3.986,6.724,-3.308,-0.089,-4.672
1.932,28.025,-4.067,6.640,-3.329,-0.102,-4.660
1.942,27.880,-4.149,6.557,-3.349,-0.114,-4.647
1.952,27.736,-4.229,6.473,-3.368,-0.126,-4.634
1.962,27.593,-4.310,6.389,-3.386,-0.139,-4.621
1.972,27.452,-4.389,6.304,-3.403,-0.151,-4.607
1.982,27.312,-4.468,6.220,-3.419,-0.163,-4.592
1.992,27.173,-4.546,6.135,-3.433,-0.175,-4.577
2.002,27.036,-4.624,6.050,-3.447,-0.187,-4.561
2.012,26.900,-4.701,5.965,-3.460,-0.200,-4.545
2.022,26.766,-4.778,5.880,-3.472,-0.212,-4.528
2.032,26.633,-4.853,5.794,-3.483,-0.224,-4.510
2.042,26.501,-4.928,5.708,-3.493,-0.236,-4.492
2.052,26.370,-5.003,5.623,-3.502,-0.248,-4.474
2.062,26.241,-5.076,5.537,-3.511,-0.260,-4.455
2.072,26.114,-5.149,5.451,-3.518,-0.272,-4.435
2.082,25.988,-5.221,5.364,-3.524,-0.284,-4.415
2.092,25.863,-5.293,5.278,-3.530,-0.296,-4.395
2.102,25.739,-5.363,5.192,-3.534,-0.308,-4.373
2.112,25.617,-5.433,5.105,-3.538,-0.319,-4.352
2.122,25.497,-5.502,5.018,-3.540,-0.331,-4.330
2.132,25.378,-5.570,4.932,-3.542,-0.343,-4.307
2.142,25.260,-5.637,4.845,-3.543,-0.355,-4.284
2.152,25.143,-5.704,4.758,-3.543,-0.366,-4.260
2.162,25.028,-5.769,4.671,-3.543,-0.378,-4.236
2.172,24.915,-5.834,4.584,-3.541,-0.390,-4.211
2.182,24.802,-5.898,4.497,-3.539,-0.401,-4.186
2.192,24.691,-5.961,4.410,-3.536,-0.413,-4.160
2.202,24.582,-6.023,4.323,-3.532,-0.424,-4.134
2.212,24.474,-6.084,4.235,-3.528,-0.436,-4.108
2.222,24.367,-6.145,4.148,-3.522,-0.447,-4.081
2.232,24.262,-6.204,4.061,-3.516,-0.458,-4.053
2.242,24.158,-6.262,3.974,-3.510,-0.470,-4.025
2.252,24.056,-6.320,3.886,-3.502,-0.481,-3.996
2.262,23.954,-6.376,3.799,-3.494,-0.492,-3.968
2.272,23.855,-6.432,3.712,-3.486,-0.503,-3.938
2.282,23.756,-6.486,3.625,-3.476,-0.514,-3.908
2.292,23.659,-6.540,3.537,-3.467,-0.525,-3.878
2.302,23.564,-6.592,3.450,-3.456,-0.536,-3.848
2.312,23.469,-6.644,3.363,-3.445,-0.547,-3.817
2.322,23.377,-6.695,3.276,-3.434,-0.558,-3.785
2.332,23.285,-6.744,3.189,-3.422,-0.569,-3.753
2.342,23.195,-6.793,3.102,-3.409,-0.580,-3.721
2.352,23.106,-6.840,3.015,-3.396,-0.590,-3.688
2.362,23.019,-6.887,2.929,-3.382,-0.601,-3.655
2.372,22.933,-6.932,2.842,-3.369,-0.612,-3.622
2.382,22.848,-6.977,2.755,-3.354,-0.622,-3.588
2.392,22.765,-7.020,2.669,-3.339,-0.633,-3.554
2.402,22.683,-7.062,2.582,-3.324,-0.643,-3.520
2.412,22.602,-7.104,2.496,-3.309,-0.653,-3.485
2.422,22.523,-7.144,2.410,-3.293,-0.664,-3.450
2.432,22.445,-7.183,2.324,-3.277,-0.674,-3.414
2.442,22.368,-7.221,2.238,-3.261,-0.684,-3.378
2.452,22.292,-7.258,2.152,-3.244,-0.694,-3.342
2.462,22.218,-7.294,2.067,-3.227,-0.704,-3.306
2.472,22.145,-7.329,1.981,-3.210,-0.714,-3.269
2.482,22.074,-7.363,1.896,-3.193,-0.724,-3.232
2.492,22.004,-7.395,1.811,-3.175,-0.734,-3.194
2.503,21.935,-7.427,1.726,-3.158,-0.744,-3.157
2.513,21.867,-7.457,1.641,-3.140,-0.753,-3.119
2.523,21.801,-7.487,1.557,-3.122,-0.763,-3.081
2.533,21.736,-7.515,1.472,-3.104,-0.773,-3.042
2.543,21.672,-7.542,1.388,-3.087,-0.782,-3.004
2.553,21.609,-7.568,1.304,-3.069,-0.792,-2.965
2.563,21.548,-7.594,1.221,-3.051,-0.801,-2.926
2.573,21.487,-7.618,1.137,-3.033,-0.810,-2.886
2.583,21.428,-7.640,1.054,-3.015,-0.819,-2.847
2.593,21.371,-7.662,0.971,-2.997,-0.829,-2.807
2.603,21.314,-7.683,0.888,-2.979,-0.838,-2.767
2.613,21.259,-7.703,0.805,-2.962,-0.847,-2.727
2.623,21.205,-7.721,0.723,-2.944,-0.856,-2.687
2.633,21.152,-7.739,0.641,-2.927,-0.865,-2.646
2.643,21.100,-7.755,0.559,-2.910,-0.874,-2.606
2.653,21.049,-7.771,0.478,-2.893,-0.882,-2.565
2.663,21.000,-7.785,0.396,-2.876,-0.891,-2.524
2.673,20.951,-7.798,0.315,-2.860,-0.900,-2.483
2.683,20.904,-7.810,0.235,-2.843,-0.908,-2.442
2.693,20.858,-7.821,0.154,-2.827,-0.917,-2.400
2.703,20.813,-7.831,0.074,-2.812,-0.925,-2.359
2.713,20.769,-7.840,-0.006,-2.796,-0.934,-2.317
2.723,20.727,-7.848,-0.085,-2.781,-0.942,-2.276
2.733,20.685,-7.855,-0.164,-2.767,-0.950,-2.234
2.743,20.644,-7.861,-0.243,-2.753,-0.958,-2.192
2.753,20.605,-7.866,-0.322,-2.739,-0.966,-2.151
2.763,20.566,-7.870,-0.400,-2.725,-0.974,-2.109
2.773,20.529,-7.873,-0.478,-2.712,-0.982,-2.067
2.783,20.493,-7.875,-0.555,-2.700,-0.990,-2.025
2.793,20.457,-7.876,-0.632,-2.688,-0.998,-1.983
2.803,20.423,-7.876,-0.709,-2.676,-1.006,-1.941
2.813,20.390,-7.875,-0.786,-2.665,-1.013,-1.899
2.823,20.357,-7.873,-0.862,-2.655,-1.021,-1.857
2.833,20.326,-7.870,-0.937,-2.645,-1.028,-1.815
2.843,20.296,-7.866,-1.013,-2.635,-1.036,-1.773
2.853,20.266,-7.861,-1.088,-2.626,-1.043,-1.731
2.863,20.238,-7.855,-1.162,-2.618,-1.051,-1.689
2.873,20.210,-7.848,-1.237,-2.610,-1.058,-1.647
2.883,20.184,-7.841,-1.311,-2.603,-1.065,-1.605
2.893,20.158,-7.832,-1.384,-2.597,-1.072,-1.564
2.903,20.133,-7.823,-1.457,-2.591,-1.079,-1.522
2.913,20.109,-7.812,-1.530,-2.586,-1.086,-1.480
2.923,20.086,-7.801,-1.602,-2.581,-1.093,-1.439
2.933,20.064,-7.789,-1.674,-2.578,-1.100,-1.397
2.943,20.043,-7.776,-1.745,-2.574,-1.107,-1.356
2.953,20.022,-7.762,-1.816,-2.572,-1.114,-1.315
2.963,20.002,-7.748,-1.887,-2.570,-1.120,-1.273
2.973,19.984,-7.732,-1.957,-2.569,-1.127,-1.232
2.983,19.966,-7.716,-2.027,-2.569,-1.133,-1.191
2.993,19.948,-7.699,-2.096,-2.569,-1.140,-1.151
3.003,19.932,-7.681,-2.165,-2.571,-1.146,-1.110
3.013,19.916,-7.663,-2.234,-2.573,-1.153,-1.070
3.023,19.901,-7.643,-2.302,-2.575,-1.159,-1.029
3.033,19.887,-7.623,-2.369,-2.579,-1.165,-0.989
3.043,19.873,-7.603,-2.436,-2.583,-1.171,-0.949
3.053,19.861,-7.581,-2.503,-2.588,-1.177,-0.910
3.063,19.849,-7.559,-2.569,-2.594,-1.183,-0.870
3.073,19.837,-7.536,-2.635,-2.600,-1.189,-0.831
3.083,19.827,-7.513,-2.701,-2.608,-1.195,-0.792
3.093,19.817,-7.488,-2.765,-2.616,-1.201,-0.753
3.103,19.807,-7.464,-2.830,-2.625,-1.207,-0.714
3.113,19.798,-7.438,-2.894,-2.634,-1.213,-0.675
3.123,19.790,-7.412,-2.957,-2.645,-1.219,-0.637
3.133,19.783,-7.385,-3.020,-2.656,-1.224,-0.599
3.143,19.776,-7.358,-3.083,-2.668,-1.230,-0.561
3.153,19.770,-7.330,-3.145,-2.681,-1.235,-0.524
3.163,19.764,-7.302,-3.206,-2.694,-1.241,-0.487
3.173,19.759,-7.273,-3.267,-2.709,-1.246,-0.450
3.183,19.754,-7.244,-3.328,-2.724,-1.252,-0.413
3.193,19.750,-7.214,-3.388,-2.740,-1.257,-0.377
3.203,19.746,-7.183,-3.448,-2.756,-1.262,-0.340
3.213,19.743,-7.152,-3.507,-2.774,-1.267,-0.305
3.223,19.740,-7.121,-3.565,-2.792,-1.272,-0.269
3.233,19.738,-7.089,-3.623,-2.811,-1.278,-0.234
3.243,19.737,-7.057,-3.681,-2.831,-1.283,-0.199
3.253,19.735,-7.024,-3.738,-2.851,-1.288,-0.164
3.263,19.735,-6.991,-3.795,-2.872,-1.293,-0.130
3.273,19.734,-6.958,-3.851,-2.894,-1.298,-0.096
3.283,19.734,-6.924,-3.907,-2.917,-1.302,-0.062
3.293,19.735,-6.890,-3.962,-2.940,-1.307,-0.029
3.303,19.736,-6.855,-4.016,-2.964,-1.312,0.004
3.313,19.737,-6.821,-4.070,-2.989,-1.317,0.037
3.323,19.738,-6.786,-4.124,-3.014,-1.322,0.069
3.333,19.740,-6.750,-4.177,-3.040,-1.326,0.101
3.343,19.743,-6.714,-4.230,-3.067,-1.331,0.133
3.353,19.745,-6.679,-4.282,-3.094,-1.335,0.164
3.363,19.748,-6.642,-4.333,-3.122,-1.340,0.195
3.373,19.751,-6.606,-4.384,-3.151,-1.344,0.225
3.383,19.755,-6.570,-4.435,-3.180,-1.349,0.255
3.393,19.759,-6.533,-4.485,-3.210,-1.353,0.285
3.403,19.763,-6.496,-4.534,-3.240,-1.358,0.315
3.413,19.767,-6.459,-4.583,-3.271,-1.362,0.344
3.423,19.771,-6.422,-4.632,-3.302,-1.366,0.372
3.433,19.776,-6.384,-4.680,-3.334,-1.371,0.400
3.443,19.781,-6.347,-4.727,-3.367,-1.375,0.428
3.453,19.786,-6.309,-4.774,-3.400,-1.379,0.456
3.463,19.791,-6.272,-4.821,-3.433,-1.383,0.483
3.473,19.797,-6.234,-4.867,-3.467,-1.388,0.510
3.483,19.802,-6.197,-4.912,-3.501,-1.392,0.536
3.493,19.808,-6.159,-4.957,-3.536,-1.396,0.562
3.504,19.814,-6.121,-5.001,-3.571,-1.400,0.587
3.514,19.820,-6.083,-5.045,-3.606,-1.404,0.612
3.524,19.826,-6.046,-5.088,-3.642,-1.408,0.637
3.534,19.832,-6.008,-5.131,-3.678,-1.412,0.661
3.544,19.838,-5.971,-5.173,-3.715,-1.416,0.685
3.554,19.844,-5.933,-5.215,-3.751,-1.420,0.709
3.564,19.851,-5.896,-5.257,-3.788,-1.424,0.732
3.574,19.857,-5.858,-5.297,-3.826,-1.428,0.754
3.584,19.864,-5.821,-5.338,-3.863,-1.432,0.777
3.594,19.870,-5.784,-5.377,-3.901,-1.436,0.798
3.604,19.877,-5.747,-5.416,-3.939,-1.440,0.820
3.614,19.883,-5.710,-5.455,-3.977,-1.444,0.841
3.624,19.890,-5.674,-5.493,-4.015,-1.447,0.861
3.634,19.896,-5.637,-5.531,-4.053,-1.451,0.882
3.644,19.902,-5.601,-5.568,-4.092,-1.455,0.901
3.654,19.909,-5.565,-5.605,-4.130,-1.459,0.921
3.664,19.915,-5.529,-5.641,-4.169,-1.463,0.940
3.674,19.921,-5.494,-5.677,-4.207,-1.467,0.958
3.684,19.928,-5.458,-5.712,-4.246,-1.470,0.976
3.694,19.934,-5.423,-5.747,-4.285,-1.474,0.994
3.704,19.940,-5.389,-5.781,-4.323,-1.478,1.012
3.714,19.946,-5.354,-5.815,-4.362,-1.482,1.028
3.724,19.951,-5.320,-5.848,-4.400,-1.486,1.045
3.734,19.957,-5.286,-5.881,-4.438,-1.489,1.061
3.744,19.962,-5.253,-5.913,-4.476,-1.493,1.077
3.754,19.968,-5.220,-5.944,-4.514,-1.497,1.092
3.764,19.973,-5.187,-5.976,-4.552,-1.501,1.107
3.774,19.978,-5.155,-6.006,-4.589,-1.504,1.122
3.784,19.983,-5.123,-6.037,-4.627,-1.508,1.136
3.794,19.987,-5.091,-6.067,-4.664,-1.512,1.150
3.804,19.992,-5.060,-6.096,-4.701,-1.516,1.163
3.814,19.996,-5.029,-6.125,-4.737,-1.520,1.176
3.824,20.000,-4.998,-6.153,-4.773,-1.523,1.189
3.834,20.004,-4.969,-6.181,-4.809,-1.527,1.201
3.844,20.007,-4.939,-6.208,-4.844,-1.531,1.213
3.854,20.011,-4.910,-6.235,-4.879,-1.535,1.225
3.864,20.014,-4.881,-6.262,-4.914,-1.539,1.236
3.874,20.017,-4.853,-6.288,-4.948,-1.542,1.246
3.884,20.019,-4.826,-6.313,-4.982,-1.546,1.257
3.894,20.021,-4.798,-6.338,-5.015,-1.550,1.267
3.904,20.023,-4.772,-6.363,-5.047,-1.554,1.277
3.914,20.025,-4.746,-6.387,-5.080,-1.558,1.286
3.924,20.027,-4.720,-6.411,-5.111,-1.562,1.295
3.934,20.028,-4.695,-6.434,-5.142,-1.566,1.304
3.944,20.028,-4.670,-6.457,-5.172,-1.570,1.312
3.954,20.029,-4.646,-6.480,-5.202,-1.574,1.320
3.964,20.029,-4.623,-6.502,-5.231,-1.578,1.328
3.974,20.029,-4.600,-6.523,-5.260,-1.582,1.336
3.984,20.028,-4.577,-6.544,-5.288,-1.586,1.343
3.994,20.027,-4.556,-6.565,-5.315,-1.590,1.349
4.004,20.026,-4.534,-6.585,-5.341,-1.594,1.356
4.014,20.025,-4.514,-6.605,-5.367,-1.598,1.362
4.024,20.023,-4.494,-6.624,-5.391,-1.602,1.368
4.034,20.020,-4.474,-6.643,-5.416,-1.607,1.374
4.044,20.018,-4.455,-6.662,-5.439,-1.611,1.379
4.054,20.014,-4.437,-6.680,-5.461,-1.615,1.384
4.064,20.011,-4.419,-6.698,-5.483,-1.619,1.389
4.074,20.007,-4.402,-6.715,-5.504,-1.624,1.393
4.084,20.003,-4.385,-6.732,-5.524,-1.628,1.397
4.094,19.998,-4.370,-6.749,-5.543,-1.632,1.401
4.104,19.993,-4.354,-6.765,-5.561,-1.637,1.405
4.114,19.988,-4.340,-6.781,-5.578,-1.641,1.409
4.124,19.982,-4.325,-6.796,-5.594,-1.646,1.412
4.134,19.975,-4.312,-6.811,-5.610,-1.650,1.415
4.144,19.969,-4.299,-6.826,-5.624,-1.655,1.418
4.154,19.962,-4.287,-6.840,-5.637,-1.659,1.420
4.164,19.954,-4.275,-6.854,-5.650,-1.664,1.423
4.174,19.946,-4.264,-6.868,-5.661,-1.669,1.425
4.184,19.937,-4.254,-6.881,-5.672,-1.673,1.427
4.194,19.929,-4.244,-6.894,-5.681,-1.678,1.429
4.204,19.919,-4.235,-6.906,-5.690,-1.683,1.430
4.214,19.909,-4.227,-6.918,-5.697,-1.688,1.432
4.224,19.899,-4.219,-6.930,-5.703,-1.692,1.433
4.234,19.888,-4.212,-6.941,-5.709,-1.697,1.434
4.244,19.877,-4.205,-6.952,-5.713,-1.702,1.435
4.254,19.866,-4.199,-6.963,-5.716,-1.707,1.436
4.264,19.854,-4.194,-6.973,-5.718,-1.712,1.437
4.274,19.841,-4.189,-6.984,-5.719,-1.718,1.437
4.284,19.828,-4.185,-6.993,-5.719,-1.723,1.437
4.294,19.815,-4.181,-7.003,-5.718,-1.728,1.438
4.304,19.801,-4.178,-7.012,-5.716,-1.733,1.438
4.314,19.786,-4.176,-7.021,-5.712,-1.739,1.438
4.324,19.772,-4.174,-7.029,-5.708,-1.744,1.438
4.334,19.756,-4.173,-7.037,-5.702,-1.749,1.438
4.344,19.741,-4.172,-7.045,-5.695,-1.755,1.437
4.354,19.724,-4.172,-7.053,-5.688,-1.760,1.437
4.364,19.708,-4.173,-7.060,-5.679,-1.766,1.437
4.374,19.691,-4.174,-7.067,-5.669,-1.772,1.436
4.384,19.673,-4.176,-7.074,-5.658,-1.777,1.436
4.394,19.655,-4.178,-7.081,-5.645,-1.783,1.435
4.404,19.636,-4.181,-7.087,-5.632,-1.789,1.434
4.414,19.617,-4.184,-7.093,-5.617,-1.795,1.434
4.424,19.598,-4.188,-7.098,-5.602,-1.801,1.433
4.434,19.578,-4.192,-7.104,-5.585,-1.807,1.432
4.444,19.558,-4.197,-7.109,-5.567,-1.813,1.432
4.454,19.537,-4.203,-7.114,-5.548,-1.819,1.431
4.464,19.516,-4.209,-7.118,-5.528,-1.825,1.430
4.474,19.494,-4.215,-7.123,-5.507,-1.831,1.429
